Book,Wood_Citations,OConnor_Citations
John,8,10
Matthew,5,3
Isaiah,3,1
Daniel,4,3
Psalms,2,5
Genesis,6,2
Mark,3,2
Philippians,5,1
Exodus,2,4
Revelation,1,3
Zechariah,2,0
Judges,3,1
1 Samuel,2,0
Romans,1,0
1 Corinthians,3,1
Acts,2,3
Luke,1,2
Jeremiah,0,1
Hebrews,0,2
